id;checkpoint_name;checkpoint_addition_name;checkpoint_place_id;checkpoint_lat;checkpoint_lng;version
1;Smolensk;Smolensk Oblast, Russia;ChIJO1fmBTxUzkYRvcQc8HJOKds;54.7801138;31.9299219;0
2;Vyazma;Smolensk Oblast, Russia;ChIJPSKqv9nry0YRl_-Lg0HWabw;55.1922595;34.2425001;0
3;Mozhaysk;Moscow Oblast, Russia;ChIJA9KReCDzykYRsAKWv7boJKw;55.5008638;36.0066998;0
4;Kaluga;Kaluga Oblast, Russia;ChIJOTC5ePy5NEERQi7gzTdEWMs;54.5355533;36.1786549;0
5;Tula;Tula Oblast, Russia;ChIJ_cEx7YQ_NEERRZGjTF3ip6M;54.1847327;37.4873663;0
6;Mikhaylov;Ryazan Oblast, Russia;ChIJLfzuZYllNkERypChQxpqIRA;54.2293754;39.0076933;0
